667: 대림상가 | Type: 상설장 | Addr: 서울특별시 중구 을지로 157 | Lat/Lon: 37.5671459,126.9954271 | Cycle: 매일
668: 청계상가 | Type: 상설장 | Addr: 서울특별시 중구 청계천로 160 | Lat/Lon: 37.56797977,126.9953591 | Cycle: 매일
669: 광희패션몰 | Type: 상설장 | Addr: 서울특별시 중구 마장로1길 21 | Lat/Lon: 37.56867257,127.0119193 | Cycle: 매일
672: 신평화패션타운 | Type: 상설장 | Addr: 서울특별시 중구 청계천로 298 | Lat/Lon: 37.56945652,127.0110704 | Cycle: 매일
673: 벨포스트 | Type: 상설장 | Addr: 서울특별시 중구 마장로 19 | Lat/Lon: 37.56814098,127.0119871 | Cycle: 매일
676: 테크노상가 | Type: 상설장 | Addr: 서울특별시 중구 마장로1가길 17 | Lat/Lon: 37.56884362,127.0132437 | Cycle: 매일
677: Team204 | Type: 상설장 | Addr: 서울특별시 중구 마장로 30 | Lat/Lon: 37.56771738,127.0131982 | Cycle: 매일
680: 동화상가 | Type: 상설장 | Addr: 서울특별시 중구 장충단로13길 34 | Lat/Lon: 37.5686099,127.0069161 | Cycle: 매일
681: 통일상가 | Type: 상설장 | Addr: 서울특별시 중구 청계천로 260-6 | Lat/Lon: 37.56915955,127.006203 | Cycle: 매일
690: 영등포유통상가 | Type: 상설장 | Addr: 서울특별시 영등포구 영등포로 109 | Lat/Lon: 37.52241744,126.8939303 | Cycle: 매일
693: 동남상가 | Type: 상설장 | Addr: 서울특별시 영등포구 영등포로 37길4 | Lat/Lon: 37.52059746,126.9056573 | Cycle: 매일
695: 영신상가 | Type: 상설장 | Addr: 서울특별시 영등포구 영등포로 225 | Lat/Lon: 37.51991925,126.9066537 | Cycle: 매일
713: 유진상가 | Type: 상설장 | Addr: 서울특별시 서대문구 홍은동 통일로 484 | Lat/Lon: 37.59159869,126.9429557 | Cycle: 매일
724: 돌곶이시장(구 석관황금시장) | Type: 상설장 | Addr: 서울특별시 성북구 한천로73길 22 | Lat/Lon: 37.60977806,127.062234 | Cycle: 매일
733: 영주소백쇼핑몰 | Type: 상설장 | Addr: 경상북도 영주시 중앙로 80번길 33-12 | Lat/Lon: 36.8234917,128.6261751 | Cycle: 매일
734: 목사랑시장 (목4동시장) | Type: 상설장 | Addr: 서울특별시 양천구 목동중앙남로7길 8 | Lat/Lon: 37.53762108,126.8662157 | Cycle: 매일
736: 목동깨비시장 (목3동시장) | Type: 상설장 | Addr: 서울특별시 양천구 목동중앙북로6길 5 | Lat/Lon: 37.54818867,126.8652236 | Cycle: 매일
